SES_original,SES_AN_0.5,SES_AN_1,SES_AN_1.5,SES_AN_2,DES_original,DES_AN_0.5,DES_AN_1,DES_AN_1.5,DES_AN_2,TES_original,TES_AN_0.5,TES_AN_1,TES_AN_1.5,TES_AN_2,ARIMA_original,ARIMA_AN_0.5,ARIMA_AN_1,ARIMA_AN_1.5,ARIMA_AN_2,VAR_original,VAR_AN_0.5,VAR_AN_1,VAR_AN_1.5,VAR_AN_2,Multivariate_LGBM_original,Multivariate_LGBM_AN_0.5,Multivariate_LGBM_AN_1,Multivariate_LGBM_AN_1.5,Multivariate_LGBM_AN_2,RNN_original,RNN_AN_0.5,RNN_AN_1,RNN_AN_1.5,RNN_AN_2
586.7600709,670.8904028,670.8904028,1634.881117,2109.334392,768.5061305,966.8989325,966.8989325,1081.900782,1842.872966,937.3496046,1345.726484,1345.726484,1295.460987,3005.442217,264.5867654,399.6140536,399.6140536,1634.881413,2109.334379,471.1403547,302.0573995,302.0573995,2259.088251,2847.245413,746.9236942,702.300114,702.300114,1828.930932,2422.714688,864.4690954,951.225754,951.225754,1013.636192,1148.011218
2984.398827,1069.521446,1069.521446,448.251424,276.5044664,2724.297667,1223.588783,1223.588783,994.1052207,1077.339955,2137.018258,668.1358846,668.1358846,200.2051909,427.4805979,2067.740678,1050.153959,1050.153959,448.2515383,533.7070657,2288.328567,3284.722888,3284.722888,3050.491367,55.57018666,1999.393216,1222.461767,1222.461767,556.2210393,132.5888072,3789.060928,4414.043403,4414.043403,4263.755883,4573.416274
880.3490943,737.3448689,737.3448689,163.0370024,830.0722236,639.5078701,317.2889982,317.2889982,674.2582273,761.5942168,337.9900842,349.9214416,349.9214416,1616.296187,1325.458589,880.3490044,737.3448879,737.3448879,163.0369568,830.0723589,611.6371223,321.3253577,321.3253577,1097.809544,1768.11039,1492.812703,387.0315458,387.0315458,368.2451502,39.44025167,1005.323148,1145.803036,1145.803036,1088.225195,1585.567879
1836.313302,681.6021325,681.6021325,1484.254957,1789.147949,1388.251756,748.563475,748.563475,1767.566679,2087.615413,808.9500485,1358.251445,1358.251445,1803.952811,1917.079568,1836.313245,681.6021393,681.6021393,1484.255621,2197.525947,1177.418055,399.2046954,399.2046954,2410.417909,2479.765608,2022.199524,204.3853577,204.3853577,1898.582249,1656.284022,1408.98462,1656.506594,1656.506594,649.5121835,1221.666941
290.9614144,126.9988197,126.9988197,342.7571631,664.3018168,108.2313872,248.98318,248.98318,535.8764986,539.7761566,125.483828,138.7142281,138.7142281,363.8090972,1549.179946,290.9614412,126.9988024,126.9988024,46.18049941,498.6709557,267.8765425,0.76970072,0.76970072,623.200217,1106.263951,401.0039425,441.0595779,441.0595779,346.3008098,205.6527577,103.3725352,209.5725172,209.5725172,395.2763492,348.1324848
99.54532214,210.8684527,210.8684527,912.9143225,953.2172833,165.984268,477.7771362,477.7771362,971.9587702,968.8927296,106.0511268,306.8869791,306.8869791,956.7326535,1006.38906,99.54531818,210.8684436,210.8684436,1121.056267,953.2172954,15.74473121,378.8974967,378.8974967,1067.144737,1076.134538,247.3092811,668.7909779,668.7909779,247.9862415,258.8774806,255.5282561,153.7233936,153.7233936,138.4831685,51.46343547
578.3448193,400.0089389,400.0089389,978.1691066,1083.967144,803.9038099,897.898231,897.898231,863.0311685,1032.92159,1066.943648,1773.482872,1773.482872,5801.122603,7729.402466,206.2341244,47.16557785,47.16557785,978.1792434,1083.958316,147.384617,100.9790718,100.9790718,459.3942461,406.783386,501.4571785,1006.704908,1006.704908,1425.980842,1446.590815,410.1775969,350.6589158,350.6589158,55.28305754,37.08386249
1013.42459,754.0230444,754.0230444,406.9698451,898.960167,1270.840214,1060.92938,1060.92938,401.5267622,962.2830194,1201.660373,772.0988673,772.0988673,1121.597949,1208.753517,1355.960212,750.3099692,750.3099692,406.9698373,1044.442259,435.8734245,91.12733324,91.12733324,806.2060313,609.7070565,1314.007907,630.6812314,630.6812314,745.8098049,1115.642808,1166.876396,595.3033166,595.3033166,282.931948,125.1354716
397.4440149,453.1762115,453.1762115,981.9557081,1770.245774,473.1647361,442.7599394,442.7599394,1857.377541,2405.918558,392.2156637,95.4522617,95.4522617,164.9919044,547.0364893,35.85104099,587.3318608,587.3318608,981.9558225,3244.639953,816.2420302,1354.226467,1354.226467,660.9710449,11544.31493,781.6593991,605.3556508,605.3556508,1977.402263,2531.142392,451.5092103,295.8721602,295.8721602,99.67308102,30.28191642
609.2654458,1103.410555,1103.410555,3214.766189,3684.747533,1050.757148,1203.489656,1203.489656,3397.275077,3834.854662,1423.057867,1917.323987,1917.323987,4003.983989,4125.640756,942.7789758,1149.687905,1149.687905,708.6197089,2819.195455,957.0023887,2290.629496,2290.629496,7870.759134,1613.059914,1027.917153,1466.671659,1466.671659,3389.387513,3693.851757,754.9118482,894.9490628,894.9490628,764.8602322,858.3453688
